Country	Moss	Microbiome	Chamber	Week0	Week4	Condition	Growth	Tmax	Tmean	Torigin	MBMoss
None	Fallax	None	30C	0.06253332	0.08232909	Control	0.000706992	30	26.5	0	NONE
None	Fallax	None	30C	0.06495224	0.01995119	Control	-0.00160718	30	26.5	0	NONE
None	Fallax	None	30C	0.05922768	0.1029913	Control	0.001562986	30	26.5	0	NONE
None	Fallax	None	30C	0.07342824	0.0813754	Control	0.000283827	30	26.5	0	NONE
None	Fallax	None	30C	0.10017328	0.09595121	Control	-0.000150788	30	26.5	0	NONE
None	Fallax	None	30C	0.02090964	0.040259008	Control	0.000691049	30	26.5	0	NONE
None	Fallax	None	30C	0.11413912	0.15071616	Control	0.001306323	30	26.5	0	NONE
None	Fallax	None	30C	0.03992196	0.089051664	Control	0.001754632	30	26.5	0	NONE
None	Fallax	None	30C	0.07451056	0.15808783	Control	0.002984903	30	26.5	0	NONE
None	Fallax	None	30C	0.07483656	0.10780561	Control	0.001177466	30	26.5	0	NONE
None	Fallax	None	30C	0.07622532	0.10286112	Control	0.000951279	30	26.5	0	NONE
None	Fallax	None	30C	0.04692444	0.14879671	Control	0.003638295	30	26.5	0	NONE
Iceland	Fallax	SMH	30C	0.31294965	0.23875104	Warm	-0.00264995	30	26.5	27	SM
Iceland	Fallax	SMH	30C	0.10892935	0.10185846	Warm	-0.000252532	30	26.5	27	SM
Iceland	Fallax	SMH	30C	0.10731487	0.29100732	Warm	0.006560445	30	26.5	27	SM
Iceland	Fallax	SMH	30C	0.06458881	0.24864985	Warm	0.006573609	30	26.5	27	SM
Iceland	Fallax	SMH	30C	0.19712993	0.19833008	Warm	4.28625E-05	30	26.5	27	SM
Iceland	Fallax	SMH	30C	0.10933297	0.19587258	Warm	0.0030907	30	26.5	27	SM
Iceland	Fallax	SMH	30C	0.17307468	0.17977104	Warm	0.000239156	30	26.5	27	SM
Iceland	Fallax	SMH	30C	0.1176914	0.13171217	Warm	0.000500742	30	26.5	27	SM
Iceland	Fallax	SMH	30C	0.13665944	0.3324368	Warm	0.006992049	30	26.5	27	SM
Iceland	Fallax	SMH	30C	0.16186524	0.37372718	Warm	0.007566498	30	26.5	27	SM
Iceland	Fallax	SMH	30C	0.10791016	0.32350136	Warm	0.007699686	30	26.5	27	SM
Iceland	Fallax	SMH	30C	0.06232356	0.13869766	Warm	0.002727646	30	26.5	27	SM
Iceland	Fallax	SMC	30C	0.10161064	0.06554187	Ambient	-0.00128817	30	26.5	12	SM
Iceland	Fallax	SMC	30C	0.05359224	0.05361468	Ambient	8.01E-07	30	26.5	12	SM
Iceland	Fallax	SMC	30C	0.0749226	0.09170325	Ambient	0.000599309	30	26.5	12	SM
Iceland	Fallax	SMC	30C	0.11607792	0.08285206	Ambient	-0.001186638	30	26.5	12	SM
Iceland	Fallax	SMC	30C	0.080095	0.07511592	Ambient	-0.000177824	30	26.5	12	SM
Iceland	Fallax	SMC	30C	0.0782422	0.12001014	Ambient	0.001491712	30	26.5	12	SM
Iceland	Fallax	SMC	30C	0.12931	0.15442289	Ambient	0.000896889	30	26.5	12	SM
Iceland	Fallax	SMC	30C	0.05279708	0.04650143	Ambient	-0.000224845	30	26.5	12	SM
Iceland	Fallax	SMC	30C	0.0917136	0.05918993	Ambient	-0.00116156	30	26.5	12	SM
Iceland	Fallax	SMC	30C	0.0685536	0.10557601	Ambient	0.001322229	30	26.5	12	SM
Iceland	Fallax	SMC	30C	0.05796948	0.0506771	Ambient	-0.000260442	30	26.5	12	SM
Iceland	Fallax	SMC	30C	0.0345856	0.08769676	Ambient	0.001896827	30	26.5	12	SM
Iceland	Fallax	STH	30C	0.09585924	0.20329202	Warm	0.003836885	30	26.5	27	ST
Iceland	Fallax	STH	30C	0.06304152	0.1983035	Warm	0.004830785	30	26.5	27	ST
Iceland	Fallax	STH	30C	0.06314188	0.19604926	Warm	0.004746692	30	26.5	27	ST
Iceland	Fallax	STH	30C	0.0755016	0.11571606	Warm	0.001436231	30	26.5	27	ST
Iceland	Fallax	STH	30C	0.15686268	0.29288102	Warm	0.004857798	30	26.5	27	ST
Iceland	Fallax	STH	30C	0.0881238	0.19703208	Warm	0.003889581	30	26.5	27	ST
Iceland	Fallax	STH	30C	0.09478616	0.190409646	Warm	0.003415125	30	26.5	27	ST
Iceland	Fallax	STH	30C	0.04617332	0.1823897	Warm	0.004864871	30	26.5	27	ST
Iceland	Fallax	STH	30C	0.10318552	0.13087206	Warm	0.000988805	30	26.5	27	ST
Iceland	Fallax	STH	30C	0.07195812	0.11428466	Warm	0.001511662	30	26.5	27	ST
Iceland	Fallax	STH	30C	0.04816508	0.1231673	Warm	0.002678651	30	26.5	27	ST
Iceland	Fallax	STH	30C	0.07149492	0.17103112	Warm	0.003554864	30	26.5	27	ST
Iceland	Fallax	STC	30C	0.11166152	0.3322953	Ambient	0.007879778	30	26.5	12	ST
Iceland	Fallax	STC	30C	0.10485464	0.19564712	Ambient	0.003242589	30	26.5	12	ST
Iceland	Fallax	STC	30C	0.04646152	0.08084042	Ambient	0.001227818	30	26.5	12	ST
Iceland	Fallax	STC	30C	0.07594496	0.15832126	Ambient	0.002942011	30	26.5	12	ST
Iceland	Fallax	STC	30C	0.08265404	0.10294292	Ambient	0.000724603	30	26.5	12	ST
Iceland	Fallax	STC	30C	0.08649432	0.09966754	Ambient	0.000470472	30	26.5	12	ST
Iceland	Fallax	STC	30C	0.08030684	0.08821634	Ambient	0.000282482	30	26.5	12	ST
Iceland	Fallax	STC	30C	0.07404764	0.14180122	Ambient	0.002419771	30	26.5	12	ST
Iceland	Fallax	STC	30C	0.08951308	0.16312908	Ambient	0.002629143	30	26.5	12	ST
Iceland	Fallax	STC	30C	0.0795766	0.10889586	Ambient	0.001047116	30	26.5	12	ST
Iceland	Fallax	STC	30C	0.07275668	0.06481716	Ambient	-0.000283554	30	26.5	12	ST
Iceland	Fallax	STC	30C	0.11147896	0.1219637	Ambient	0.000374455	30	26.5	12	ST
Sweden	Fallax	BAA	0C	0.024888178	0.3420138	Ambient	0.011325915	21	16.75	17.7	BA
Sweden	Fallax	BAA	0C	0.270254452	0.5752218	Ambient	0.010891691	21	16.75	17.7	BA
Sweden	Fallax	BAA	0C	0.024342082	0.2898126	Ambient	0.00948109	21	16.75	17.7	BA
Sweden	Fallax	BAA	0C	0.17282652	0.6428472	Ambient	0.016786453	21	16.75	17.7	BA
Sweden	Fallax	BAA	0C	0.023900778	0.271215	Ambient	0.008832651	21	16.75	17.7	BA
Sweden	Fallax	BAA	0C	0.023968706	0.2196288	Ambient	0.006987861	21	16.75	17.7	BA
Sweden	Fallax	BAA	2.25C	0.332444816	0.40244944	Ambient	0.002500165	23.25	19	17.7	BA
Sweden	Fallax	BAA	2.25C	0.451001638	0.66191613	Ambient	0.00753266	23.25	19	17.7	BA
